,CSF-cN,Excit-01,Excit-02,Excit-03,Excit-04,Excit-05,Excit-06,Excit-08,Excit-09,Excit-10,Excit-11,Excit-12,Excit-13,Excit-14,Excit-15,Excit-16,Excit-17,Excit-18,Excit-19,Excit-20,Excit-21,Excit-22,Excit-23,Excit-24,Excit-25,Excit-29,Excit-30,Excit-31,Excit-32,Excit-34,Excit-38,Inhib-01,Inhib-02,Inhib-03,Inhib-04,Inhib-05,Inhib-06,Inhib-07,Inhib-08,Inhib-09,Inhib-10,Inhib-11,Inhib-12,Inhib-13,Inhib-14,Inhib-15,Inhib-16,Inhib-17,Inhib-18,Inhib-19,Inhib-20,Inhib-22,Inhib-23,Inhib-24,Inhib-27,MN-alpha,MN-gamma,PGC
Atf3/Gfra3/Gal,0.0,0.0012442722453680781,0.010106663271235775,0.0007154527780265641,0.0,0.0015548498345444124,0.0011169670844414295,0.001655828374105129,0.001197891530531455,0.0005359709856744534,0.0,0.0,0.019001776307449685,0.04783310704194343,0.027229778917110963,0.01133628726229106,0.0,0.0013969252113975705,0.0,0.0,0.0,0.005883474962854653,0.0019463622241875675,0.0,0.00017659423801378468,0.0008783041244477054,0.0,0.0006941738903769345,0.0021545468753795113,0.0009435963410999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016470929762966082,0.0,0.0,0.0016375401730100673,0.00026543875424831,0.0,0.0,0.00043069947806518227,0.0,0.0,0.0009052011277630889,0.00019540205212822002,0.0,0.0,0.0007198055268348098,0.0006658858917140169,0.01862590728728465,0.0,0.0005100704691618737,0.0034343264918141846,0.006126862943895476
Atf3/Mrgprd,0.0,7.775640447244912e-05,0.00021896961112365622,4.470969741249369e-05,0.0,1.897511242276821e-05,8.279177386716955e-06,0.00010347515286398538,7.48580053190621e-05,3.349361596928634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035633921450858e-05,2.6266054140073496e-06,0.0,0.0,0.0,5.896672454956915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1869935563747947e-06,0.0,0.0,0.00010233229625305096,1.6587658540827666e-05,0.0,0.0,9.527387608521882e-07,0.0,0.0,0.0,1.2210961914957667e-05,0.0,0.0,0.0,1.1681631716798196e-06,0.0,0.0,5.919833072111247e-07,2.939411385146003e-06,2.3950365134680735e-06
Atf3/S100b/Gal,0.0,0.00011368183185528951,0.06933793664046412,6.53667095081395e-05,0.0,0.013106618659322705,0.010302907435451314,0.00015128329311126973,0.00010944429891584393,4.896851448674141e-05,0.0,0.0,0.19862577911557777,0.5,0.2846331819218223,0.11849833685642258,0.0,0.014602074773991247,0.0,0.0,0.0,0.061500029233890335,0.020345345980565935,0.0,1.6134376176298406e-05,0.008745408029399288,0.0,0.00725620739802909,0.02252150245529998,8.62108441199397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00152489393442773,0.0,0.0,0.00014961240781300486,2.4251576727412594e-05,0.0,0.0,0.004344133797097533,0.0,0.0,0.009462077457871856,1.785273545794443e-05,0.0,0.0,0.00752413517904695,0.006766820694229254,0.19469681606666434,0.0,0.0052336161422408545,0.03541167223070179,0.06364704795574906
Cldn9,0.0,4.644740975124175e-05,0.0009996728306593465,2.670712013578164e-05,0.0,0.00017598606022348228,0.00013449754148773437,6.181037892317714e-05,4.471606512421853e-05,2.0007248477228576e-05,0.0,0.0,0.002500521074822421,0.006294553219517897,0.003583277423295259,0.001491788175534222,0.0,0.00018382707356053536,0.0,0.0,0.0,0.0007742304140292584,0.00025612972608835357,0.0,6.592082209716224e-06,0.00011161751826615058,0.0,9.134916727750718e-05,0.0002835255915767774,3.522348590350371e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9884249552757434e-05,0.0,0.0,6.11276990892119e-05,9.908557092972282e-06,0.0,0.0,5.524034089741968e-05,0.0,0.0,0.00011911910025155002,7.294158666014539e-06,0.0,0.0,9.47221386307157e-05,8.586452182326764e-05,0.002451058940804611,0.0,6.622927321953792e-05,0.0004475030523729685,0.0008026460425837317
Mrgpra3,0.0,0.00015735898055946755,0.002362909360488001,9.048093791997675e-05,0.0,0.00040219749152880466,0.00030299974306773904,0.00020940711801664075,0.00015149336551301812,6.778247142387695e-05,0.0,0.0,0.0055248943301244,0.013907797755973901,0.007917241457616062,0.0032961018068367863,0.0,0.00040616540554855714,0.0,0.0,0.0,0.0017106599371428583,0.000565917914346055,0.0,2.233328708405348e-05,0.0002484674902593714,0.0,0.0002018357299343804,0.0006264490026179635,0.00011933349702838784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47697312079262e-05,0.0,0.0,0.00020709426993110452,3.356915813639565e-05,0.0,0.0,0.00012272402183685397,0.0,0.0,0.00026319331927088284,2.471184890331516e-05,0.0,0.0,0.00020928830071758692,0.00019053970357951958,0.005415607883174434,0.0,0.00014675009751416676,0.0009908258270840081,0.001775130080684709
Mrgpra3/Mrgprb4,0.0,0.0006197091754039167,0.0017451614187746819,0.00035633090166704303,0.0,0.0001512293598513394,6.598404628088271e-05,0.0008246845014400763,0.0005966092833561396,0.00026694008389979414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7952672759515e-05,2.093372869115496e-05,0.0,0.0,0.0,0.0004699576902354217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46019563303526e-06,0.0,0.0,0.0008155760719444966,0.0001322016400573193,0.0,0.0,7.593213136189428e-06,0.0,0.0,0.0,9.731989526198188e-05,0.0,0.0,0.0,9.310119735737358e-06,0.0,0.0,4.718035635182637e-06,2.342675459366363e-05,1.9088152453724464e-05
Mrgprd/Gm7271,0.0,0.00022094442250225548,0.0009764680665540052,0.00012704237473524298,0.0,0.00012105130940594136,7.634773677621201e-05,0.0002940241134859378,0.00021270863624810814,9.517193712922212e-05,0.0,0.0,0.0010195423557652244,0.002566490513731266,0.001461016722591005,0.0006082497148698811,0.0,7.495217277648631e-05,0.0,0.0,0.0,0.00031567848324595015,0.00010443227491540601,0.0,3.135769690309168e-05,5.233378775006296e-05,0.0,3.724597490541658e-05,0.00011560244481300562,0.00016755364385541232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1191179855855718e-05,0.0,0.0,0.0002907766923169811,4.713374624036726e-05,0.0,0.0,2.4998408765234016e-05,0.0,0.0,4.856866407163714e-05,3.4697385338249546e-05,0.0,0.0,3.86212431221114e-05,3.804452533374793e-05,0.0009993750629775503,0.0,2.8541727311854924e-05,0.00019009770505574945,0.0003334865998513458
Mrgprd/Lpar3,0.0,0.00018009755447662845,0.0015178753019343735,0.00010355554915393757,0.0,0.00023547799276893587,0.0001698755123318431,0.00023966671435408376,0.0001733843505551806,7.757712522297939e-05,0.0,0.0,0.002908694367918434,0.007322046465645081,0.004168194767391984,0.0017353006571287784,0.0,0.00021383413997997562,0.0,0.0,0.0,0.0009006121433781519,0.0002979391372586583,0.0,2.5560475626889855e-05,0.00013409601384921794,0.0,0.00010626057546545319,0.0003298069749076925,0.00013657733994936974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.505456145902109e-05,0.0,0.0,0.00023701965676258127,3.841994441441702e-05,0.0,0.0,6.580221196132133e-05,0.0,0.0,0.00013856354161614123,2.8282742670674004e-05,0.0,0.0,0.0001101841347895531,0.0001017746127337966,0.00285115826790654,0.0,7.800002457772755e-05,0.0005253170815869728,0.0009375493344703387
Nppb,0.0,0.17755067489373816,0.5021477439618613,0.10209110109631898,0.0,0.04373518438991136,0.019225091139339744,0.23627742756859313,0.17093240686441277,0.07648005537711776,0.0,0.0,0.006180975531826672,0.0155593487394958,0.008857413880707968,0.0036875138963986544,0.0,0.0004543975474574483,0.0,0.0,0.0,0.0019138008046785727,0.000633120666674649,0.0,0.025199007900732925,0.006269674465245335,0.0,0.00022580372286408804,0.0007008398216788466,0.13464590873358573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027578057613003894,0.0,0.0,0.23366780378319713,0.03787662236715647,0.0,0.0,0.002310644967019519,0.0,0.0,0.00029444752593430016,0.027882777551406224,0.0,0.0,0.00023414128642780036,0.002877930838731786,0.006058711319301398,0.0,0.0015145840177082186,0.007813747639427486,0.007449383031686475
S100b/Baiap2l1,0.0,6.072710927806977e-05,0.00017101345662136788,3.491790417752607e-05,0.0,1.4819405983071042e-05,6.465969116072333e-06,8.081323922022e-05,5.8463483492986525e-05,2.6158237265269087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.618738889066994e-06,2.05135712085698e-06,0.0,0.0,0.0,4.605252454491145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.270321576646123e-07,0.0,0.0,7.992067765217617e-05,1.2954824232299295e-05,0.0,0.0,7.440810983515024e-07,0.0,0.0,0.0,9.536660338541319e-06,0.0,0.0,0.0,9.123257828408509e-07,0.0,0.0,4.623340705078619e-07,2.295655999142953e-06,1.8705037233283716e-06
