cell_type,layer,freq
CSF-cN,1-4,0.0
CSF-cN,1/2,0.0
CSF-cN,1/2/3,0.0
CSF-cN,1/2o,0.0
CSF-cN,1/2o (2i-4),0.0
CSF-cN,1/2o (2i/3),0.0
CSF-cN,1/2o (3),0.0
CSF-cN,1/2o/2i,0.0
CSF-cN,1/2o/2i/3,0.0
CSF-cN,1/2o/4,0.0
CSF-cN,10,1.0
CSF-cN,2i (3/4),0.0
CSF-cN,2i/3,0.0
CSF-cN,2i/3 (1-4),0.0
CSF-cN,2i/3/4,0.0
CSF-cN,3 (1-4),0.0
CSF-cN,3 (1-5),0.0
CSF-cN,3/4,0.0
CSF-cN,3/4 (1/2o),0.0
CSF-cN,4,0.0
CSF-cN,4/5,0.0
CSF-cN,4/5/6,0.0
CSF-cN,4/lat 5,0.0
CSF-cN,4/med 5,0.0
CSF-cN,5,0.0
CSF-cN,5/6,0.0
CSF-cN,6/7/8,0.0
CSF-cN,7,0.0
CSF-cN,7-IML,0.0
CSF-cN,7/8,0.0
CSF-cN,9,0.0
CSF-cN,N/A,0.0
CSF-cN,med 5,0.0
Excit-01,1-4,0.0
Excit-01,1/2,0.0
Excit-01,1/2/3,0.0
Excit-01,1/2o,1.0
Excit-01,1/2o (2i-4),0.0
Excit-01,1/2o (2i/3),0.0
Excit-01,1/2o (3),0.0
Excit-01,1/2o/2i,0.0
Excit-01,1/2o/2i/3,0.0
Excit-01,1/2o/4,0.0
Excit-01,10,0.0
Excit-01,2i (3/4),0.0
Excit-01,2i/3,0.0
Excit-01,2i/3 (1-4),0.0
Excit-01,2i/3/4,0.0
Excit-01,3 (1-4),0.0
Excit-01,3 (1-5),0.0
Excit-01,3/4,0.0
Excit-01,3/4 (1/2o),0.0
Excit-01,4,0.0
Excit-01,4/5,0.0
Excit-01,4/5/6,0.0
Excit-01,4/lat 5,0.0
Excit-01,4/med 5,0.0
Excit-01,5,0.0
Excit-01,5/6,0.0
Excit-01,6/7/8,0.0
Excit-01,7,0.0
Excit-01,7-IML,0.0
Excit-01,7/8,0.0
Excit-01,9,0.0
Excit-01,N/A,0.0
Excit-01,med 5,0.0
Excit-02,1-4,0.0
Excit-02,1/2,0.0
Excit-02,1/2/3,0.0
Excit-02,1/2o,0.0
Excit-02,1/2o (2i-4),0.0
Excit-02,1/2o (2i/3),0.0
Excit-02,1/2o (3),0.0
Excit-02,1/2o/2i,1.0
Excit-02,1/2o/2i/3,0.0
Excit-02,1/2o/4,0.0
Excit-02,10,0.0
Excit-02,2i (3/4),0.0
Excit-02,2i/3,0.0
Excit-02,2i/3 (1-4),0.0
Excit-02,2i/3/4,0.0
Excit-02,3 (1-4),0.0
Excit-02,3 (1-5),0.0
Excit-02,3/4,0.0
Excit-02,3/4 (1/2o),0.0
Excit-02,4,0.0
Excit-02,4/5,0.0
Excit-02,4/5/6,0.0
Excit-02,4/lat 5,0.0
Excit-02,4/med 5,0.0
Excit-02,5,0.0
Excit-02,5/6,0.0
Excit-02,6/7/8,0.0
Excit-02,7,0.0
Excit-02,7-IML,0.0
Excit-02,7/8,0.0
Excit-02,9,0.0
Excit-02,N/A,0.0
Excit-02,med 5,0.0
Excit-03,1-4,0.0
Excit-03,1/2,0.0
Excit-03,1/2/3,0.0
Excit-03,1/2o,0.0
Excit-03,1/2o (2i-4),0.0
Excit-03,1/2o (2i/3),0.0
Excit-03,1/2o (3),0.0
Excit-03,1/2o/2i,1.0
Excit-03,1/2o/2i/3,0.0
Excit-03,1/2o/4,0.0
Excit-03,10,0.0
Excit-03,2i (3/4),0.0
Excit-03,2i/3,0.0
Excit-03,2i/3 (1-4),0.0
Excit-03,2i/3/4,0.0
Excit-03,3 (1-4),0.0
Excit-03,3 (1-5),0.0
Excit-03,3/4,0.0
Excit-03,3/4 (1/2o),0.0
Excit-03,4,0.0
Excit-03,4/5,0.0
Excit-03,4/5/6,0.0
Excit-03,4/lat 5,0.0
Excit-03,4/med 5,0.0
Excit-03,5,0.0
Excit-03,5/6,0.0
Excit-03,6/7/8,0.0
Excit-03,7,0.0
Excit-03,7-IML,0.0
Excit-03,7/8,0.0
Excit-03,9,0.0
Excit-03,N/A,0.0
Excit-03,med 5,0.0
