drg,sc,ligand,receptor,pathway,modality,value
Nppb,Excit-01,Nppb,Npr1,NPPB,itch,0.3551013497874763
Nppb,Excit-02,Nppb,Npr1,NPPB,itch,1.0
Nppb,Excit-03,Nppb,Npr1,NPPB,itch,0.20418220219263797
Nppb,Excit-05,Nppb,Npr1,NPPB,itch,0.08665637357346637
Nppb,Excit-08,Nppb,Npr1,NPPB,itch,0.47255485513718626
Nppb,Excit-09,Nppb,Npr1,NPPB,itch,0.34186481372882555
Nppb,Excit-10,Nppb,Npr1,NPPB,itch,0.15296011075423552
Nppb,Excit-25,Nppb,Npr1,NPPB,itch,0.05039801580146585
Nppb,Excit-34,Nppb,Npr1,NPPB,itch,0.26929181746717146
Nppb,Inhib-10,Nppb,Npr1,NPPB,itch,0.46733560756639425
Nppb,Inhib-11,Nppb,Npr1,NPPB,itch,0.07575324473431294
Nppb,Inhib-18,Nppb,Npr1,NPPB,itch,0.05576555510281245
Atf3/Gfra3/Gal,Excit-14,Grp,Grpr,GRP,itch,0.09566621408388686
Atf3/Gfra3/Gal,Excit-15,Grp,Grpr,GRP,itch,0.054459557834221926
Atf3/S100b/Gal,Excit-02,Grp,Grpr,GRP,itch,0.13803559505093374
Atf3/S100b/Gal,Excit-13,Grp,Grpr,GRP,itch,0.39725155823115554
Atf3/S100b/Gal,Excit-14,Grp,Grpr,GRP,itch,1.0
Atf3/S100b/Gal,Excit-15,Grp,Grpr,GRP,itch,0.5692663638436446
Atf3/S100b/Gal,Excit-16,Grp,Grpr,GRP,itch,0.23699667371284516
Atf3/S100b/Gal,Excit-22,Grp,Grpr,GRP,itch,0.12300005846778067
Atf3/S100b/Gal,Inhib-24,Grp,Grpr,GRP,itch,0.38939363213332867
Atf3/S100b/Gal,MN-gamma,Grp,Grpr,GRP,itch,0.07081474947368245
Atf3/S100b/Gal,PGC,Grp,Grpr,GRP,itch,0.12728709270346508
S100b/Ntrk3/Gfra1,Excit-14,Grp,Grpr,GRP,itch,0.09540582700145929
S100b/Ntrk3/Gfra1,Excit-15,Grp,Grpr,GRP,itch,0.05431132822661653
S100b/Prokr2,Excit-14,Grp,Grpr,GRP,itch,0.06740788623141565
S100b/Smr2,Excit-14,Grp,Grpr,GRP,itch,0.09844394031376812
S100b/Smr2,Excit-15,Grp,Grpr,GRP,itch,0.05604082394485955
Zcchc12/Rxfp1,Excit-13,Grp,Grpr,GRP,itch,0.07625685475410256
Zcchc12/Rxfp1,Excit-14,Grp,Grpr,GRP,itch,0.1919611217981169
Zcchc12/Rxfp1,Excit-15,Grp,Grpr,GRP,itch,0.10927700980536097
Zcchc12/Rxfp1,Inhib-24,Grp,Grpr,GRP,itch,0.07474843844535702
Atf3/Gfra3/Gal,Excit-22,Tac1,Tacr1,SubstanceP,pain,0.06121674124830288
Atf3/Mrgprd,Excit-21,Tac1,Tacr1,SubstanceP,pain,0.06010383526346424
Atf3/Mrgprd,Excit-22,Tac1,Tacr1,SubstanceP,pain,0.0812874471191326
Atf3/Mrgprd,Excit-23,Tac1,Tacr1,SubstanceP,pain,0.05229229506390669
Atf3/Mrgprd,Excit-29,Tac1,Tacr1,SubstanceP,pain,0.051897065159067286
Cldn9,Excit-02,Tac1,Tacr1,SubstanceP,pain,0.5112499367474818
Cldn9,Excit-06,Tac1,Tacr1,SubstanceP,pain,0.2592441510341709
Cldn9,Excit-11,Tac1,Tacr1,SubstanceP,pain,0.33216689511664976
Cldn9,Excit-12,Tac1,Tacr1,SubstanceP,pain,0.40233849062325777
Cldn9,Excit-13,Tac1,Tacr1,SubstanceP,pain,0.1828642935482101
Cldn9,Excit-14,Tac1,Tacr1,SubstanceP,pain,0.09716572611321563
Cldn9,Excit-15,Tac1,Tacr1,SubstanceP,pain,0.4660329685363882
Cldn9,Excit-20,Tac1,Tacr1,SubstanceP,pain,0.18968030837777425
Cldn9,Excit-21,Tac1,Tacr1,SubstanceP,pain,0.7393987312134152
Cldn9,Excit-22,Tac1,Tacr1,SubstanceP,pain,1.0
Cldn9,Excit-23,Tac1,Tacr1,SubstanceP,pain,0.6433009882481431
Cldn9,Excit-24,Tac1,Tacr1,SubstanceP,pain,0.2332628008693916
Cldn9,Excit-25,Tac1,Tacr1,SubstanceP,pain,0.3603803022261108
Cldn9,Excit-29,Tac1,Tacr1,SubstanceP,pain,0.6384388610827991
Cldn9,Excit-30,Tac1,Tacr1,SubstanceP,pain,0.288486113249479
Cldn9,Excit-31,Tac1,Tacr1,SubstanceP,pain,0.3437165618068619
Cldn9,Excit-32,Tac1,Tacr1,SubstanceP,pain,0.33689120007645545
Cldn9,Excit-34,Tac1,Tacr1,SubstanceP,pain,0.2331292926032494
Cldn9,Excit-38,Tac1,Tacr1,SubstanceP,pain,0.11541748362216782
Cldn9,Inhib-01,Tac1,Tacr1,SubstanceP,pain,0.08350382016165131
Cldn9,Inhib-06,Tac1,Tacr1,SubstanceP,pain,0.05350789269873486
Cldn9,Inhib-08,Tac1,Tacr1,SubstanceP,pain,0.22965682045527855
Cldn9,Inhib-09,Tac1,Tacr1,SubstanceP,pain,0.08032790307912639
Cldn9,Inhib-14,Tac1,Tacr1,SubstanceP,pain,0.1836658233230311
Cldn9,Inhib-15,Tac1,Tacr1,SubstanceP,pain,0.3089007077685305
Cldn9,Inhib-16,Tac1,Tacr1,SubstanceP,pain,0.18151617144084764
Cldn9,Inhib-17,Tac1,Tacr1,SubstanceP,pain,0.24542601822657933
Cldn9,Inhib-18,Tac1,Tacr1,SubstanceP,pain,0.3532324789999051
Cldn9,Inhib-20,Tac1,Tacr1,SubstanceP,pain,0.48514688661556654
Cldn9,Inhib-22,Tac1,Tacr1,SubstanceP,pain,0.25544119664740955
Cldn9,Inhib-23,Tac1,Tacr1,SubstanceP,pain,0.24402498429951278
Cldn9,MN-alpha,Tac1,Tacr1,SubstanceP,pain,0.31016001111709296
Cldn9,MN-gamma,Tac1,Tacr1,SubstanceP,pain,0.2274972436211822
Cldn9,PGC,Tac1,Tacr1,SubstanceP,pain,0.3172986026854056
Mrgpra3,Excit-02,Tac1,Tacr1,SubstanceP,pain,0.05520345371620532
Mrgpra3,Excit-15,Tac1,Tacr1,SubstanceP,pain,0.05032104174426774
Mrgpra3,Excit-21,Tac1,Tacr1,SubstanceP,pain,0.07983837395860911
Mrgpra3,Excit-22,Tac1,Tacr1,SubstanceP,pain,0.10797742894092834
Mrgpra3,Excit-23,Tac1,Tacr1,SubstanceP,pain,0.06946198674619286
Mrgpra3,Excit-29,Tac1,Tacr1,SubstanceP,pain,0.06893698675569518
Mrgpra3,Inhib-20,Tac1,Tacr1,SubstanceP,pain,0.05238491347544496
Mrgprd/Gm7271,Excit-21,Tac1,Tacr1,SubstanceP,pain,0.0584684543028165
Mrgprd/Gm7271,Excit-22,Tac1,Tacr1,SubstanceP,pain,0.07907567572758054
Mrgprd/Gm7271,Excit-23,Tac1,Tacr1,SubstanceP,pain,0.05086946034194226
