,CSF-cN,Excit-01,Excit-02,Excit-03,Excit-04,Excit-05,Excit-06,Excit-08,Excit-09,Excit-10,Excit-11,Excit-12,Excit-13,Excit-14,Excit-15,Excit-16,Excit-17,Excit-18,Excit-19,Excit-20,Excit-21,Excit-22,Excit-23,Excit-24,Excit-25,Excit-29,Excit-30,Excit-31,Excit-32,Excit-34,Excit-38,Inhib-01,Inhib-02,Inhib-03,Inhib-04,Inhib-05,Inhib-06,Inhib-07,Inhib-08,Inhib-09,Inhib-10,Inhib-11,Inhib-12,Inhib-13,Inhib-14,Inhib-15,Inhib-16,Inhib-17,Inhib-18,Inhib-19,Inhib-20,Inhib-22,Inhib-23,Inhib-24,Inhib-27,MN-alpha,MN-gamma,PGC
Atf3/Gfra3/Gal,0.0005160038838852812,0.02112160608438093,0.028944192154668393,0.03082826165387753,0.040914872582604137,0.023012928237050822,0.01689980246608088,0.08158296603441216,0.043665555604519124,0.06454829592111595,0.047220520676398946,0.01367813916967638,0.0700399406610101,0.006097221825933073,0.0037622246172096204,0.10347389778470864,0.0,0.12323019580842007,0.042045089046617475,0.02499063336648297,0.04494250103899051,0.09437837831957956,0.038563382536701996,0.017406684753359356,0.05281008977973754,0.06622826629111743,0.01189094008721482,0.03538674238269129,0.03735513222336486,0.06320379738747117,0.042226249690689756,0.03319774590717677,0.08685876730845592,0.13452846674913063,0.20633392216921173,0.012226464040741807,0.05286325822081117,0.05206281916852724,0.0839999600879479,0.023322963945180786,0.006844400724257968,0.050053451396055784,0.04336433816499279,0.03134852134631714,0.16289213735807748,0.05269627327373711,0.03735624409597012,0.03281667099096025,0.032843528725742206,0.0745730875487582,0.060713145191495975,0.11437067175472984,0.19755386464562535,0.011423045313970913,0.0,0.061318724296449134,0.05276246362087572,0.01227456754941594
Atf3/Mrgprd,0.0,0.0011539383035888994,0.0015796889238521264,0.0009615610395716049,0.0022348287116814177,0.0012509673890018004,0.0009212389953419029,0.004455898100030011,0.0019594344954398666,0.0018934040701762392,0.001415563879368651,0.0007472788123522974,0.003011532591984406,0.0003308222703201379,0.0002009985286804984,0.0023580094825106047,0.0,0.0030918298427917573,0.0021183806542512244,0.001351702880521567,0.002005966026823556,0.0038584391210870943,0.0021010222939871833,0.0009352540197082922,0.0028762547500779732,0.0019197031601970226,0.0006216095589322652,0.0019250908865706183,0.0017796925634402491,0.0026101641121356075,0.0022969577518269107,0.0017356046706259352,0.0029878094545834374,0.005396608063599456,0.0066975152751375675,0.00064731935188392,0.002285239975558211,0.0027749119866901464,0.003741577489663079,0.001262253912013379,0.0003678474369896737,0.0027133383097373933,0.00193538128600671,0.0009219051195382713,0.004874624679471115,0.0018694698669631392,0.0020318933104069388,0.0017817454315628705,0.001790993575344252,0.004074157135381625,0.0032830454224233863,0.003710800169654515,0.00620103971649343,0.0005768395687800558,0.0,0.001718400749730267,0.0016412427789623788,0.000667121520738853
Atf3/S100b/Gal,0.0014957580937940424,0.0023312475095289666,0.0032229137466706042,0.0235304899547099,0.0045241922364507555,0.002838569298188429,0.0019010023713622087,0.009067317500751551,0.01669241164636637,0.052636872520480445,0.03794810701432252,0.001509692385461097,0.030501264212661694,0.0007776172135278679,0.0006471312620409285,0.10325526683229522,0.0,0.11517153630682628,0.009678804051453086,0.003396161879074054,0.017650742591574103,0.04711980895157752,0.004553072298081437,0.0027238810260184374,0.006284195028424132,0.05484534155490058,0.002742981498193662,0.004283379928279625,0.011525809954913048,0.030556007581465764,0.005170601567111989,0.0059391165115892375,0.058734655014956436,0.06927401636614305,0.15014722493676683,0.002116101936038592,0.022660269498493948,0.0076993962822478005,0.03303791860528841,0.003094836757105003,0.0009409041966956264,0.0061309712598026644,0.016881331139168426,0.026108378644594952,0.13045664309294502,0.034076660340675705,0.004553135836987575,0.00410984786629833,0.0037959744608473405,0.008230828845657056,0.008431279818246611,0.08356296915174352,0.14987725513983507,0.003593179163944808,0.0,0.05222244385996936,0.04037191467517394,0.0014493850044656783
Cldn9,0.0,0.0005698208614182355,0.0007895094751923841,0.000929632676907751,0.0011063485052699472,0.0006217154166431718,0.0004668575001563689,0.002200346141430749,0.0012337909523031606,0.0019634980892183386,0.0014476421753964197,0.0003690102453916656,0.0020212677386286927,0.00016546235013285433,9.925414071125498e-05,0.003228067909897095,0.0,0.003797271171794874,0.0011584612168700178,0.0006773419135398768,0.0012734903061258165,0.002725885744000307,0.0010374959646414588,0.00046183340088250203,0.001420309867737619,0.0020280849142191035,0.00030695410078248155,0.000957669653006056,0.001048518232561088,0.0018626815545204907,0.001134249934087979,0.0009087469176860638,0.0025684536541407455,0.0038939333388402332,0.0062123854842154715,0.00036948587147765503,0.0015201709704975096,0.0014148476148175746,0.0023730099675155734,0.0006388072242812118,0.000203329125371555,0.0014226706312565364,0.0012562744668466884,0.0009611421272054509,0.0049257690669847086,0.0015715775108401525,0.0010083843376517306,0.0008937610416540143,0.0008844021372053917,0.0020118404261442015,0.0016211852616922569,0.003422997587857572,0.005936109190874704,0.00029845810562374557,0.0,0.0019112964176991344,0.0016219349252047568,0.0003437896636420722
Mrgpra3,0.001980417140945185,0.00012184041306050393,0.00018008206274287966,0.00016272476036232624,0.00023987424797295527,0.0005322567257497123,0.0001140653863801793,0.0005569090026498056,0.00023988980977642066,0.0004380610204862265,0.0013833020822263536,7.890262320367834e-05,0.0007941698948150293,0.0001732807217289448,0.0003403960098521723,0.0006445928698182189,0.0,0.0010299016538114355,0.0004391459329073344,0.0009939801944581605,0.0008164648656798999,0.002361434629201415,0.0006302680538580731,0.0012035557514107603,0.000930528838970166,0.0011766569132941641,0.002034683681111448,0.000703965323871552,0.0006744932775131871,0.0010374826970919577,0.0009444787784376844,0.0005350874381738997,0.0009987070731985151,0.0008278218868292182,0.001134871041214569,0.0009884718064041664,0.0005066448271063051,0.00036784058106836956,0.0009199872608090954,0.0008078578402657014,0.0002353442723173882,0.000896732329924501,0.0005107803089149765,0.0022567540536404364,0.0019867262912938582,0.0008573758959170763,0.0007928244940209163,0.0008217812523399344,0.00042440224536311903,0.00043017636792576933,0.002728160486882301,0.0014069371604838227,0.001498641877516091,0.0032343794774154365,0.0,0.000644426421002864,0.0004418711891471722,0.0001617297921910193
Mrgpra3/Mrgprb4,0.004271020099146845,0.00035035235241494305,0.0005041799270026449,0.00028784962247949884,0.0006857472481220022,0.0012411073568988889,0.0003107474727691093,0.0015392634880060758,0.000586731001457766,0.000780480815690895,0.0028628632474443005,0.00022688465146117944,0.0017778089276875401,0.00039790246914945995,0.0007493635722195904,0.0009530370602368679,0.0,0.0017790224707602445,0.001073981121443836,0.002241970271926729,0.0018276487348675974,0.005137077328073633,0.0015187279770206546,0.0026666093955022693,0.0022251212903753132,0.0023574048518601592,0.004435235170364126,0.0016612578570928546,0.0015375334641572615,0.002256582530033874,0.002211235363576567,0.0012694189536241118,0.0020548154982914066,0.0018270964790896333,0.002082806496705805,0.002159309994686612,0.0011467983173567176,0.0009903603749325488,0.0021114621864578875,0.0018313430617729319,0.0005260773657567963,0.002103996757629679,0.0011540898499235364,0.00478159054144634,0.003901682348078288,0.0017942327264785336,0.001861877758071852,0.0019014837185922274,0.0010512200174056276,0.0012369730097785176,0.006132818232689146,0.002839907852670536,0.002844572997353423,0.007013236319995625,0.0,0.0011965116193396186,0.0008300418667689519,0.0003932064657625169
Mrgprd/Gm7271,0.0004568230260685414,0.0011804075069444182,0.001668469753810228,0.0005632560936312967,0.00230153839243273,0.0013928133495642108,0.0010087833320190783,0.004578044006685014,0.0017439485035620182,0.0010206802193651957,0.0011962299901544433,0.0007644200016047084,0.0028507640863639954,0.00038132177958768526,0.000279232790770692,0.00047035425182849315,0.0,0.0010388799099965336,0.0021212575544666923,0.0016307119980307964,0.0019567935085239895,0.0037533854561236962,0.002243428037694926,0.0012115526022867032,0.0030868227680555167,0.0012839633261507997,0.0010900691058447958,0.002121654751806959,0.0018358200818162026,0.0026366332436836243,0.0025115647722049202,0.001845842422557817,0.002113366175358447,0.00441085431822042,0.0043537573343466664,0.00113533718260142,0.0021221356149304345,0.002823499395369809,0.0034194723575067094,0.0015279634387565279,0.000535143269061698,0.0033499042958094927,0.0019687985066593203,0.0011427814731464702,0.0028920904134557236,0.0015701977212228535,0.002238201167458704,0.0020416901368812816,0.0018863517054822922,0.004167610739775688,0.003907696681685327,0.0025157229351255063,0.0037117830464701374,0.0013933624249518228,0.0,0.0011150366190322799,0.0011828316817735565,0.0007786739356930668
Mrgprd/Lpar3,0.0011171050469407189,0.0003207269696739735,0.00046975641083336596,0.0003264037597574252,0.0006301745685931901,0.000583195316518597,0.00029484687306122805,0.0012872283082134297,0.0005723114362783042,0.0007207215439411182,0.0011992733532345385,0.00020769955225674147,0.001200711483436398,0.00017514579151158913,0.00023590362542362625,0.0009664089425101362,0.0,0.0013336676769752985,0.0007210487646743752,0.0008800826348046664,0.0009277494740203184,0.0022732047555145984,0.0008143450418505469,0.0008831394424421557,0.0011530119212901154,0.0011908432097786485,0.0012834640378769596,0.000834801361887898,0.0008035811649346452,0.001317747778022259,0.0010343725006574068,0.0006986439181564325,0.0012531524924389611,0.0017139906850083127,0.0023295695918894,0.0008212777038554373,0.000843846828602354,0.0008198741368830762,0.0013539760974193484,0.0007693964062250102,0.00026631523317936713,0.001301658072332748,0.0008067266096114435,0.0015734028658485287,0.0023107789644251286,0.0009754842858779048,0.0009032774855779363,0.0008868344234490861,0.000630516355119816,0.0011323760273340105,0.002255848030228589,0.0016921061788949113,0.0023238978392164495,0.0019838212211019967,0.0,0.0008993345923843848,0.000735830652372954,0.0002721711918744493
Nppb,0.0,0.00022718160351906458,0.025923087824966752,0.010350939751992002,0.007969166278277574,0.011035298691353333,0.032552639489785616,0.0008772549384434084,0.0003718763090737274,0.028327967594343095,0.0946073484622597,0.00014712051618185856,0.0865862668799249,0.0057577938238400515,3.9571585333973115e-05,0.019836995330431952,0.0,0.0004902593156849243,0.008116730317599926,0.026997889302476815,0.022181635097129317,0.07969474822880891,0.00041363876412872674,0.00018412813513007007,0.0005662626539216009,0.07982133802516835,0.00012237938191478974,0.019483807527861084,0.032437107965184,0.16049462183139146,0.00045221355739092294,0.01827815594039071,0.0005312039226288887,0.030719614388017385,0.14402691605909754,0.135187057203416,0.05151471827002967,0.005996441405208946,0.0007092147954609059,0.042253405293073365,0.05883795380667013,0.2249547731440368,0.09630153903653219,0.09175823970825438,0.04514696405741204,0.06914207196745022,0.014017153283291148,0.03809042137650011,0.00035260186014589957,0.0008020996860282574,0.0006463495675396041,0.03849394190722475,0.03042876068661123,0.03700217931103771,0.0,0.1394142417711611,0.11274623887315213,0.03905210453797888
S100b/Baiap2l1,0.002929708001894117,0.00012016217045636475,0.00017572944198871146,0.0002522643452189652,0.00023601983862552757,0.0007187061640213302,0.00011012801415527316,0.0005918558135878194,0.00029119444639912377,0.0006868717931884332,0.0020444226856125105,7.781581021189214e-05,0.0010621041161923699,0.0002372437622081472,0.0004930958267177827,0.0011205384125652694,0.0,0.0016895624327460796,0.0005525912044715985,0.0013912626074759553,0.0011358001048141192,0.0033804606836573903,0.0008229879437064116,0.001731771728746809,0.0012268120433898224,0.0017658940526215257,0.002977621807418809,0.0009348870258555836,0.0009173173004419045,0.0014203795385989623,0.001277610475238314,0.0007018001177516246,0.0014792701090973622,0.00110928601509491,0.0016939198090304504,0.001384155655510743,0.0006674064401593786,0.0004040187944745333,0.001241824467247182,0.0011155579916000149,0.0003096715634022936,0.0011114784556317055,0.000661480103254114,0.0033283586978212197,0.0030310089575001425,0.0012381017221175076,0.0010625841444475064,0.0011105105183172217,0.0005345846478952852,0.00042425107360172297,0.0038649383552947472,0.002102724935640541,0.002296794108948796,0.004742575484553116,0.0,0.0009637392910999511,0.000642113687186747,0.0001917163805608489
