,CSF-cN,Excit-01,Excit-02,Excit-03,Excit-04,Excit-05,Excit-06,Excit-08,Excit-09,Excit-10,Excit-11,Excit-12,Excit-13,Excit-14,Excit-15,Excit-16,Excit-17,Excit-18,Excit-19,Excit-20,Excit-21,Excit-22,Excit-23,Excit-24,Excit-25,Excit-29,Excit-30,Excit-31,Excit-32,Excit-34,Excit-38,Inhib-01,Inhib-02,Inhib-03,Inhib-04,Inhib-05,Inhib-06,Inhib-07,Inhib-08,Inhib-09,Inhib-10,Inhib-11,Inhib-12,Inhib-13,Inhib-14,Inhib-15,Inhib-16,Inhib-17,Inhib-18,Inhib-19,Inhib-20,Inhib-22,Inhib-23,Inhib-24,Inhib-27,MN-alpha,MN-gamma,PGC
Atf3/Gfra3/Gal,0.0,0.022054629755596678,0.0742967989365263,0.010441754499613024,0.008463917524376788,0.017323536851774925,0.025852290416356477,0.0,0.0,0.0017189074068529652,0.029150514824770456,0.04264969172498592,0.035556155923226355,0.033151340244941666,0.011623850547502246,0.013294913472749963,0.0,0.01632618156038943,0.016619982172137594,0.016635007481218513,0.03793734790052823,0.07822241076456435,0.015852689592859664,0.022495254163052234,0.022005491343543033,0.03572393422732247,0.019518612447570215,0.0289464346590046,0.024925866389227058,0.02118111614142029,0.03238953814709016,0.024269792325762346,0.008612782192666106,0.012285870568336087,0.021267433205778927,0.024628599264850552,0.01295422153207664,0.011137751499687768,0.018499330096215842,0.021557601436796133,0.0,0.02000037061694671,0.01999144920022759,0.01759805583328755,0.023681481541282634,0.026876043197792986,0.01582656587817823,0.01282103772931886,0.034585705924331404,0.1249788151849382,0.007424777856341218,0.023316396457163636,0.034103007858964765,0.0165836922725822,0.0,0.05712638528155541,0.050357031551987126,0.03170017725558889
Atf3/Mrgprd,0.0,0.020738803301103184,0.07153834245056166,0.007591267426795201,0.006225229952515287,0.012628462959633917,0.026283841812313705,0.0,0.0,0.0012823674286343058,0.03180735114601671,0.04363832679480981,0.027133734637514593,0.02616754372003913,0.012681590581531007,0.011191709347981443,0.0,0.011671192056381178,0.01188122300288949,0.015233821101601309,0.0378911521948648,0.07585032287540025,0.01736768443891435,0.023427973044863472,0.020766061814640267,0.035138677637609646,0.016659749781735598,0.025896654780975345,0.023131875372087107,0.01732891614834418,0.024237259489020627,0.02024859220047289,0.006157069535124548,0.011033285921244165,0.015676378227663847,0.017606389530612485,0.009762631437604974,0.009805679546165392,0.015379196012504301,0.016934567360637476,0.0,0.014361407183604362,0.015119138405758323,0.018152911439651587,0.01997246490887135,0.02264252425213737,0.013310005496079243,0.012054620353463465,0.0306243650915346,0.08934433012440349,0.009859087972693673,0.020466067704090825,0.02783157223773876,0.012481811971041722,0.0,0.05868742754987521,0.051106434473472656,0.02924080389053598
Atf3/S100b/Gal,0.0,0.04585278144493973,0.1436494716778891,0.020535855357908413,0.016446831836920934,0.03397587556806836,0.048252691161438405,0.0,0.0,0.0032899428528874327,0.054469768564090915,0.08057795583178759,0.06636962688241531,0.0647383435506304,0.0111341031337046,0.026942318179614608,0.0,0.032657897933003,0.03324559875916584,0.02929792320459603,0.05900379673840027,0.13691306239621995,0.01498398714843575,0.04208339320314273,0.03565822397003888,0.05706511111218723,0.031542781218963756,0.050174241492578736,0.04241514965879578,0.03630771049903703,0.06178903347958357,0.04766851635267719,0.017228484243352136,0.025095815807827,0.042830838786893095,0.04926554798188442,0.024521551283661975,0.022996247796694416,0.031033518597576318,0.041504129591590715,0.0,0.03983117274025523,0.039846878347428984,0.03749539940318593,0.04340167079357921,0.04605400515904691,0.02711783502909788,0.0196233481537631,0.06157802604481216,0.25,0.00223754438644666,0.04085473454688955,0.06258279971053532,0.032075494669229446,0.0,0.11533169828730096,0.10273916630013766,0.057361045793742904
Cldn9,0.0,0.08122816743279303,0.3419546201350954,0.01530533879208977,0.014184896103821532,0.02623558352180906,0.144172488984332,0.0,0.0,0.0033288709090663776,0.18983116613108217,0.23712204977233095,0.08389412752193456,0.0768076808810406,0.12174307480377808,0.03538747860191623,0.0,0.019027721001480927,0.019370137631464505,0.07909199179498391,0.25432431128784977,0.42911979047658216,0.1678268158220976,0.13209947623968832,0.12590026765008852,0.22606899221706941,0.08972432585891521,0.133380136646245,0.12884907069904186,0.07881010171914024,0.06454484065310354,0.06888436712211786,0.0100379636231771,0.04060423332535987,0.02952779032164989,0.02870396324672972,0.027520366855771562,0.03324746800020338,0.07487837205354393,0.05149519264354477,0.0,0.02488448304579319,0.03442129493935189,0.08122039404930713,0.08347853225874896,0.10836959525628183,0.0635262226623182,0.07780542581894875,0.1482492575749937,0.14565941323379036,0.12128672165389164,0.10053139605711797,0.1080610084642189,0.032052073550845564,0.0,0.28839639628064084,0.24159840456069379,0.14673532368148412
Mrgpra3,0.0,0.07888767187155012,0.24528664321697585,0.0018981983208338844,0.001727888314954477,0.0032389291189408222,0.09757022563727967,0.0,0.0,0.0003985878257818759,0.14020075374790633,0.1687021909532332,0.009844617254516458,0.03267317164260314,0.013253270069914265,0.026671294736864512,0.0,0.002446274857709272,0.002490297218176149,0.0325730176596302,0.08626807554365902,0.20789503282084018,0.018265644508819148,0.0929753090844345,0.03908353270140324,0.07981756301127638,0.01005057857641957,0.044994532506828055,0.047042854476860935,0.008932303265951395,0.007704120836012485,0.04008131923854496,0.0012905180831728215,0.034977502653333686,0.01087152486446962,0.0036902886899393187,0.003262738670698389,0.029986885517038653,0.008444696762404573,0.017729449770341767,0.0,0.003164336590157664,0.013838480826741998,0.08874071252769587,0.029542209779730724,0.02029793969404416,0.011619460997071434,0.01752050729093423,0.05594158399899423,0.018726518028868194,0.01309622836886124,0.03258105017637535,0.03003902493084573,0.006707796715489267,0.0,0.2590436538521673,0.224028265973009,0.07114095433929284
Mrgpra3/Mrgprb4,0.0,0.02590439003858311,0.07838876543605859,0.0003180840005631298,0.00028148652786967945,0.0005389327552013973,0.030977108626620155,0.0,0.0,6.312520113139561e-05,0.04491698623601894,0.05385133409889139,0.0015057094068027372,0.00972716955395103,0.0017464895720491883,0.008576805691496985,0.0,0.0004321393473711515,0.0004399159854140687,0.009605824864404986,0.024342010365659514,0.06309107830454046,0.0024057152929662,0.029642387960959634,0.01077816578487263,0.022746985216209357,0.0014073037991941028,0.01269519726073147,0.013520237790836897,0.001280401731358665,0.0012136585524341356,0.012516420297196637,0.00022797260106544026,0.011378999784570992,0.003159307289061809,0.0006518968794761015,0.0005080853163380319,0.009794451124978168,0.0011986964558734728,0.005046918558713306,0.0,0.0005503312091089416,0.004085098033356613,0.029372566117853587,0.008443269627307567,0.004584379862275697,0.002588995980092016,0.004319253175918202,0.016207475144828835,0.0033080768720760625,0.0016943556506834325,0.009101377587884577,0.008042022411378281,0.0016204252139675299,0.0,0.08450874189760267,0.07327674170784695,0.021601314501419302
Mrgprd/Gm7271,0.0,0.013112118766254306,0.04669686050330241,0.0004324198516046737,0.000500070137680281,0.0007883004613023776,0.019473751783743682,0.0,0.0,0.00013923707590833133,0.02741727318782876,0.03297256366633527,0.004144420357060386,0.00648968655363716,0.009285556092750846,0.004506292479521722,0.0,0.00026384538868972094,0.00026859346381783583,0.008043131196556785,0.025038626389396846,0.04827688877732092,0.012814451417095774,0.01835916449872819,0.011701030613292395,0.02245078169734606,0.005947145460967885,0.012334823981443503,0.01258861367198048,0.004893359825614804,0.0027765760779460314,0.007534610325342056,0.00013919010130557992,0.0059301933648660725,0.0015757638354544216,0.0003980197281208521,0.0012539106997926498,0.004920608427528845,0.004782231637836773,0.003922983560692577,0.0,0.00045562417347361504,0.0023794196907888326,0.01463324218939347,0.007408231546495683,0.007849875741181388,0.004563096451764581,0.0065273274971494565,0.014193639678732635,0.002019767080776251,0.009590829471564456,0.009015224682757172,0.008345226428994315,0.0016709382401189207,0.0,0.045908175223520815,0.03906125890023851,0.016093957153053336
Mrgprd/Lpar3,0.0,0.010188760660092172,0.039022296866476895,0.0006574461281956683,0.000699100439966944,0.001169514692405951,0.016510791075595936,0.0,0.0,0.00018384661544240143,0.022821439067421758,0.027645259145911146,0.0052077416588809,0.0061594071763138546,0.010514895962858106,0.0036928407809989124,0.0,0.000569849719754264,0.0005801045485180529,0.007599969429103443,0.024491557015179303,0.04403605802032085,0.014507793406033004,0.015435389453609834,0.011660595663325753,0.021809635112038796,0.00693911269599749,0.01214563863800234,0.012179737615848073,0.005796341894118378,0.0036341592268179096,0.006591247584053476,0.0003006209076287049,0.004727204542610881,0.001621345692605575,0.0008596376523868813,0.0016128466835163267,0.0038710549238488213,0.005627411935332605,0.00392644855298482,0.0,0.0008452145913461481,0.002323533616534546,0.011123158802124907,0.007265001312762847,0.008627105636210242,0.005034824761824281,0.0068621757492755096,0.013677521452605102,0.004362265759750511,0.010782950033259197,0.008960264330844635,0.00864573678796898,0.0019419460583694225,0.0,0.03649697410575743,0.030811951727698343,0.014686877888416893
Nppb,0.0,0.003005355318633793,0.014377812498879816,0.0003823265072113685,0.0004138183221202835,0.0006835563456343121,0.0063840650865381425,0.0,0.0,0.00011022018874553657,0.008533366735327431,0.010415772114239014,0.0031583288447531678,0.002638558452656738,0.006542638486378918,0.0012022844638402681,0.0,0.0003113503978455345,0.0003169533575465946,0.0035808205368532556,0.012447628393987503,0.019720067245012626,0.009027631813278826,0.005873788484596993,0.006039018660894884,0.010937444074904917,0.004285067798914036,0.006089085375984014,0.005996537108585401,0.00356594929359506,0.0021831353436659795,0.0025308068116926476,0.00016425109278152378,0.0014829537440391389,0.0006146520398357759,0.00046968264753920506,0.0009727908699459385,0.0011489595879724305,0.003467707645389147,0.0018411088419578612,0.0,0.00047340969149002566,0.000939633579743132,0.0031290596289258936,0.0035264883699336227,0.004937340716880199,0.002893404517574887,0.0038327619637394637,0.006594132522404346,0.0023834234408186905,0.006721808173010234,0.004528967320507214,0.00447437767254905,0.0010324920101278765,0.0,0.011902300146969429,0.009782561618891716,0.006501133575108881
S100b/Baiap2l1,0.0,0.0015677242000393062,0.005380024545273072,0.0006846064220811087,0.0005579132760872676,0.0011372193330489026,0.0019197034481255074,0.0,0.0,0.0001140560348346211,0.002225893147773209,0.003170260024077637,0.002384496873540752,0.002234338128175772,0.0009376763728121582,0.0009111987879593782,0.0,0.0010621937539722036,0.0010813086445887127,0.0011959276714729361,0.0028537430075173537,0.0057472439707662755,0.001281815704056134,0.0016857705794451274,0.0016141206448954536,0.002664752937406702,0.0013821991669008048,0.002067496127837887,0.0018076766468816563,0.0014688133147756602,0.0021522182596320034,0.0016654049122934841,0.0005603541413240744,0.0008607038222615959,0.0013957197906519778,0.0016023553463155686,0.000863641319842377,0.0007735317885307008,0.0012929824980433273,0.001453439268256311,0.0,0.0013038795188907277,0.0013248159605245915,0.001292157024240012,0.0016458631469971718,0.0018823687919739434,0.0011078171668770322,0.0009446346877339496,0.00245356034420358,0.008131216498925252,0.000671922288642668,0.001652121319578522,0.0023433870105099893,0.0011019193497647476,0.0,0.004218001654360043,0.0036953134128536206,0.002277727821846795
