cluster,gene,score,pvals_adj,logfoldchanges
0,Malat1,112.59084,0.0,0.4851249
0,Meg3,72.69798,0.0,0.5426879
0,Snhg11,41.38021,0.0,-0.3113967
0,Gm42418,18.273403,3.674198586457541e-74,-0.62869847
0,Rgs5,3.9877694,0.00012338172447097945,1.7311813
0,Hbb-bs,2.8059576,0.008708219030863652,1.296802
0,Ly6c1,1.4975686,0.21134255497559742,1.5918387
0,Slco1a4,0.7672219,0.6333997244391335,0.8756496
0,Vtn,0.6430818,0.7279851546567335,1.1699975
0,Cldn5,0.6042925,0.7581648978574335,1.0238017
0,Ly6a,0.36189404,0.9391957105187084,0.98044443
0,Flt1,0.22222798,0.9985330574893676,0.62785757
0,Hbb-bt,0.1397247,0.9985330574893676,0.8845851
0,Higd1b,0.13449176,0.9985330574893676,1.4364067
0,CRE,0.062980935,0.9985330574893676,2.0400496
0,Ifitm1,0.048422467,0.9985330574893676,0.8891641
0,AW112010,0.022603527,0.9985330574893676,0.8555937
0,Nes,0.020120492,0.9985330574893676,0.8083938
0,Ppbp,0.013863305,0.9985330574893676,18.671558
0,Defb36,0.012593929,0.9985330574893676,2.065016
0,Ifi207,0.012593929,0.9985330574893676,2.0920732
0,Gm29678,0.009762686,0.9985330574893676,2.7937984
0,4930448A20Rik,0.009762686,0.9985330574893676,2.7750955
0,Olfr424,0.008493414,0.9985330574893676,1.873165
0,Cd7,0.008493414,0.9985330574893676,1.856328
0,Rhox4b,0.0069316523,0.9986218818663208,17.670786
0,AY702103,0.005662067,0.9986218818663208,1.8475703
0,Ccl11,0.005662067,0.9986218818663208,1.5922362
0,Dsc1,0.005662067,0.9986218818663208,1.2577538
0,Gzma,0.005662067,0.9986218818663208,2.0367765
0,AC164425.1,0.005662067,0.9986218818663208,1.3884598
0,Gm15650,0.005662067,0.9986218818663208,1.2587917
0,Olfr291,0.005662067,0.9986218818663208,1.6660975
0,Thbd,0.004676819,0.9986272160911288,0.7023466
0,1700065O20Rik,0.0028309291,0.9992149596424428,1.2562745
